> P at   696.29 seconds at    80.00 degrees for a    300.0 km deep source in the iasp91 model with rayParam    5.314 s/deg.
    0.00   300.0     0.0      0.00      0.00
    0.52   410.0    13.9      0.52      0.00
    1.98   660.0    43.7      1.98      0.00
   39.41  2352.6   327.5     39.41      0.00
   76.84   660.0   611.4     76.84      0.00
   78.30   410.0   641.1     78.30      0.00
   78.82   300.0   655.1     78.82      0.00
   79.21   210.0   666.8     79.21      0.00
   79.90    35.0   690.3     79.90      0.00
   79.95    20.0   692.7     79.95      0.00
   80.00     0.0   696.3     80.00      0.00
> PcP at   702.46 seconds at    80.00 degrees for a    300.0 km deep source in the iasp91 model with rayParam    4.368 s/deg.
    0.00   300.0     0.0      0.00      0.00
    0.41   410.0    13.4      0.41      0.00
    1.55   660.0    41.6      1.55      0.00
   39.53  2889.0   331.2     39.53      0.00
   77.51   660.0   620.8     77.51      0.00
   78.64   410.0   649.0     78.64      0.00
   79.06   300.0   662.4     79.06      0.00
   79.37   210.0   673.7     79.37      0.00
   79.92    35.0   696.5     79.92      0.00
   79.96    20.0   698.9     79.96      0.00
   80.00     0.0   702.5     80.00      0.00
> pP at   766.01 seconds at    80.00 degrees for a    300.0 km deep source in the iasp91 model with rayParam    5.497 s/deg.
    0.00   300.0     0.0      0.00      0.00
    0.41   210.0    11.8      0.41      0.00
    1.13    35.0    35.5      1.13      0.00
    1.17    20.0    37.9      1.17      0.00
    1.23     0.0    41.5      1.23      0.00
    1.28    20.0    45.1      1.28      0.00
    1.33    35.0    47.5      1.33      0.00
    2.05   210.0    71.2      2.05      0.00
    2.46   300.0    83.0      2.46      0.00
    3.00   410.0    97.0      3.00      0.00
    4.53   660.0   127.2      4.53      0.00
   40.61  2250.8   403.8     40.61      0.00
   76.70   660.0   680.3     76.70      0.00
   78.23   410.0   710.5     78.23      0.00
   78.77   300.0   724.5     78.77      0.00
   79.18   210.0   736.3     79.18      0.00
   79.90    35.0   760.0     79.90      0.00
   79.95    20.0   762.4     79.95      0.00
   80.00     0.0   766.0     80.00      0.00
> sP at   797.96 seconds at    80.00 degrees for a    300.0 km deep source in the iasp91 model with rayParam    5.452 s/deg.
    0.00   300.0     0.0      0.00      0.00
    0.20   210.0    20.1      0.20      0.00
    0.57    35.0    60.1      0.57      0.00
    0.60    20.0    64.1      0.60      0.00
    0.63     0.0    70.2      0.63      0.00
    0.68    20.0    73.8      0.68      0.00
    0.73    35.0    76.2      0.73      0.00
    1.44   210.0    99.8      1.44      0.00
    1.85   300.0   111.6      1.85      0.00
    2.39   410.0   125.6      2.39      0.00
    3.90   660.0   155.7      3.90      0.00
   40.31  2275.8   434.1     40.31      0.00
   76.73   660.0   712.5     76.73      0.00
   78.24   410.0   742.5     78.24      0.00
   78.78   300.0   756.5     78.78      0.00
   79.19   210.0   768.3     79.19      0.00
   79.90    35.0   791.9     79.90      0.00
   79.95    20.0   794.4     79.95      0.00
   80.00     0.0   798.0     80.00      0.00
> PP at   882.42 seconds at    80.00 degrees for a    300.0 km deep source in the iasp91 model with rayParam    8.234 s/deg.
    0.00   300.0     0.0      0.00      0.00
    1.01   410.0    17.3      1.01      0.00
    4.21   660.0    59.3      4.21      0.00
   18.40   978.8   184.8     18.40      0.00
   32.59   660.0   310.2     32.59      0.00
   35.79   410.0   352.2     35.79      0.00
   36.80   300.0   369.5     36.80      0.00
   37.53   210.0   383.6     37.53      0.00
   38.77    35.0   410.9     38.77      0.00
   38.85    20.0   413.5     38.85      0.00
   38.93     0.0   417.3     38.93      0.00
   39.02    20.0   421.1     39.02      0.00
   39.09    35.0   423.8     39.09      0.00
   40.34   210.0   451.1     40.34      0.00
   41.07   300.0   465.1     41.07      0.00
   42.07   410.0   482.4     42.07      0.00
   45.28   660.0   524.4     45.28      0.00
   59.47   978.8   649.9     59.47      0.00
   73.65   660.0   775.3     73.65      0.00
   76.86   410.0   817.3     76.86      0.00
   77.87   300.0   834.6     77.87      0.00
   78.59   210.0   848.7     78.59      0.00
   79.84    35.0   876.0     79.84      0.00
   79.91    20.0   878.6     79.91      0.00
   80.00     0.0   882.4     80.00      0.00
> SKS at  1283.09 seconds at    80.00 degrees for a    300.0 km deep source in the iasp91 model with rayParam    6.876 s/deg.
    0.00   300.0     0.0      0.00      0.00
    0.34   410.0    24.3      0.34      0.00
    1.29   660.0    74.5      1.29      0.00
   24.69  2889.0   496.5     24.69      0.00
   39.60  3085.6   605.9     39.60      0.00
   54.51  2889.0   715.3     54.51      0.00
   77.90   660.0  1137.3     77.90      0.00
   78.85   410.0  1187.6     78.85      0.00
   79.19   300.0  1211.8     79.19      0.00
   79.45   210.0  1232.3     79.45      0.00
   79.93    35.0  1272.9     79.93      0.00
   79.96    20.0  1277.0     79.96      0.00
   80.00     0.0  1283.1     80.00      0.00
> SKKS at  1286.08 seconds at    80.00 degrees for a    300.0 km deep source in the iasp91 model with rayParam    7.502 s/deg.
    0.00   300.0     0.0      0.00      0.00
    0.38   410.0    24.5      0.38      0.00
    1.43   660.0    75.5      1.43      0.00
   29.69  2889.0   532.5     29.69      0.00
   34.62  2911.9   569.8     34.62      0.00
   39.56  2889.0   607.1     39.56      0.00
   44.49  2911.9   644.4     44.49      0.00
   49.42  2889.0   681.7     49.42      0.00
   77.68   660.0  1138.7     77.68      0.00
   78.73   410.0  1189.7     78.73      0.00
   79.11   300.0  1214.2     79.11      0.00
   79.40   210.0  1234.9     79.40      0.00
   79.92    35.0  1275.8     79.92      0.00
   79.96    20.0  1279.9     79.96      0.00
   80.00     0.0  1286.1     80.00      0.00
