> P at   533.12 seconds at    52.04 degrees for a    160.0 km deep source in the ak135 model with rayParam    7.386 s/deg.
    0.00   160.0     0.0     28.00     20.00
    0.32   210.0     7.4     28.32     20.01
    1.76   410.0    36.4     29.76     20.04
    4.24   660.0    72.7     32.24     20.10
   25.58  1319.0   254.2     53.57     20.80
   46.92   660.0   435.6     74.90     23.08
   49.41   410.0   472.0     77.37     23.82
   50.85   210.0   501.0     78.81     24.40
   51.16   160.0   508.3     79.12     24.54
   51.90    35.0   526.8     79.86     24.92
   51.97    20.0   529.4     79.93     24.96
   52.04     0.0   533.1     80.00     25.00
