 2020  4 2 1914 13.0 L                                                         1
 2020-04-02-1914-13M.INSK__060                                                 6
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 SK00 BZ IP     C 1915 41.56                                                    
 SK00 BN IS       1915 50.28                                                    
 SK00 BE IS       1915 50.58                                                    
 SK02 BZ IP       1915 42.11                                                    
 SK02 BN IS       1915 51.54                                                    
 SK02 BE IS       1915 51.29                                                    
 SK03 BZ IP     D 1915 44.78                                                    
 SK03 BN IS       1915 55.66                                                    
 SK03 BE IS       1915 55.65                                                    
 SK04 BZ IP       1915 38.42                                                    
 SK04 BN IS       1915 45.62                                                    
 SK04 BE IS     C 1915 45.50                                                    
 SK05 BZ IP       1915 37.99                                                    
 SK05 BN IP       1915 44.13                                                    
 SK05 BE IP       1915 44.13                                                    
                                                                                
