SEISAN Log file. This file contain a log of the event listed below.
This log file was created on: 2025-09-18 15:29:22
The operator was: INS 
The s-file content at creation:
 2021  4 5 1737 24.9 L                                                         1
 ACTION:REG 25-09-18 15:14 OP:INSK STATUS:               ID:20210405173724     I
 2021-04-05-1737-24M.INSK__045                                                 6
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 SK02 BN IS       1739 11.07                                                    
 SK02 BE IS     D 1739 11.03                                                    
 SK02 BZ IP     C 1739 10.69                                                    
 SK03 BZ IP     C 1739 11.19                                                    
 SK03 BN IS     C 1739 22.50                                                    
 SK03 BE IS     C 1739 23.31                                                    
 SK04 BZ IP     C 1739 23.26                                                    
 SK04 BN IS       1739 24.55                                                    
 SK04 BE IS       1739 24.45                                                    
 SK05 BN IS       1739 20.30                                                    
 SK05 BE IS       1739 20.25                                                    
 SK05 BZ IP     C 1739 12.81                                                    
 SK06 BZ IP       1739  9.12                                                    
 SK06 BN IS       1739 13.92                                                    
 SK06 BE IS       1739 13.90                                                    
 SK07 BZ IP       1739  7.36                                                    
 SK07 BN IS     C 1739 10.66                                                    
 SK07 BE IS     C 1739 10.71                                                    
 SK08 BZ IP     D 1739 11.63                                                    
 SK08 BN IS     C 1739 18.78                                                    
 SK08 BE IS       1739 18.59                                                    
 SK10 BZ IP       1739 16.03                                                    
 SK10 BN IS       1739 25.39                                                    
 SK10 BE IS       1739 25.23                                                    
 SK11 BZ IP       1739 11.66                                                    
 SK11 BN IS     C 1739 19.22                                                    
 SK11 BE IS     C 1739 19.22                                                    
 SK14 BZ IP       1739  7.91                                                    
 SK14 BE IS     C 1739 11.91                                                    
 SK14 BN IS       1739 11.76                                                    
 SK16 BZ IP       1739 10.69                                                    
 SK16 BN IS       1739 16.50                                                    
 SK16 BE IS     C 1739 16.51                                                    
 SK17 BZ IP     C 1739 16.93                                                    
 SK17 BN IS     C 1739 25.58                                                    
 SK17 BE IS     C 1739 25.21                                                    
 SK18 BZ EP     D 1739 12.63                                                    
 SK18 BN IS     C 1739 19.07                                                    
 SK18 BE IS       1739 19.27                                                    
 SK20 BZ IP       1739 16.14                                                    
 SK20 BN IS     C 1739 25.79                                                    
 SK20 BE IS     C 1739 25.16                                                    
 SK22 BZ EP       1739 15.44                                                    
 SK22 BN IS     C 1739 23.76                                                    
 SK22 BE IS       1739 23.76                                                    
                                                                                
--------------------------------------------------------------------------------
