  Thu Sep 18 15:28:28 2025 for program Focmec
 -----
 Input from a file focmec.dat
   2021  4 5 1739  4.7 L  27.232  88.765  5.8  TES 15 1.2
 Polarities/Errors:  P 007/00  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    2.00  358.00
 The limits for the B axis plunge:     0.00    2.00   90.00
 The limits for Angle:     0.00    2.00  178.00
    Dip   Strike   Rake    Pol: P     SV    SH
   58.00    6.00   90.00       0.00  0.00  0.00
   58.00    8.00   90.00       0.00  0.00  0.00
   60.00    8.00   90.00       0.00  0.00  0.00
   62.00    8.00   90.00       0.00  0.00  0.00
   64.00    8.00   90.00       0.00  0.00  0.00
   58.00   10.00   90.00       0.00  0.00  0.00
   60.00   10.00   90.00       0.00  0.00  0.00
   62.00   10.00   90.00       0.00  0.00  0.00
   64.00   10.00   90.00       0.00  0.00  0.00
   66.00   10.00   90.00       0.00  0.00  0.00
   68.00   10.00   90.00       0.00  0.00  0.00
   70.00   10.00   90.00       0.00  0.00  0.00
   58.00   12.00   90.00       0.00  0.00  0.00
   60.00   12.00   90.00       0.00  0.00  0.00
   62.00   12.00   90.00       0.00  0.00  0.00
   64.00   12.00   90.00       0.00  0.00  0.00
   66.00   12.00   90.00       0.00  0.00  0.00
   68.00   12.00   90.00       0.00  0.00  0.00
   70.00   12.00   90.00       0.00  0.00  0.00
   72.00   12.00   90.00       0.00  0.00  0.00
   74.00   12.00   90.00       0.00  0.00  0.00
   76.00   12.00   90.00       0.00  0.00  0.00
   78.00   12.00   90.00       0.00  0.00  0.00
   58.00   14.00   90.00       0.00  0.00  0.00
   60.00   14.00   90.00       0.00  0.00  0.00
   62.00   14.00   90.00       0.00  0.00  0.00
   64.00   14.00   90.00       0.00  0.00  0.00
   66.00   14.00   90.00       0.00  0.00  0.00
   68.00   14.00   90.00       0.00  0.00  0.00
   70.00   14.00   90.00       0.00  0.00  0.00
   72.00   14.00   90.00       0.00  0.00  0.00
   74.00   14.00   90.00       0.00  0.00  0.00
   76.00   14.00   90.00       0.00  0.00  0.00
   78.00   14.00   90.00       0.00  0.00  0.00
   80.00   14.00   90.00       0.00  0.00  0.00
   82.00   14.00   90.00       0.00  0.00  0.00
   84.00   14.00   90.00       0.00  0.00  0.00
   86.00   14.00   90.00       0.00  0.00  0.00
   56.00   16.00   90.00       0.00  0.00  0.00
   58.00   16.00   90.00       0.00  0.00  0.00
   60.00   16.00   90.00       0.00  0.00  0.00
   62.00   16.00   90.00       0.00  0.00  0.00
   64.00   16.00   90.00       0.00  0.00  0.00
   66.00   16.00   90.00       0.00  0.00  0.00
   68.00   16.00   90.00       0.00  0.00  0.00
   70.00   16.00   90.00       0.00  0.00  0.00
   72.00   16.00   90.00       0.00  0.00  0.00
   74.00   16.00   90.00       0.00  0.00  0.00
   76.00   16.00   90.00       0.00  0.00  0.00
   78.00   16.00   90.00       0.00  0.00  0.00
   80.00   16.00   90.00       0.00  0.00  0.00
   82.00   16.00   90.00       0.00  0.00  0.00
   84.00   16.00   90.00       0.00  0.00  0.00
   86.00   16.00   90.00       0.00  0.00  0.00
   88.00   16.00   90.00       0.00  0.00  0.00
   90.00   16.00   90.00       0.00  0.00  0.00
   88.00  196.00  -90.00       0.00  0.00  0.00
   56.00   18.00   90.00       0.00  0.00  0.00
   58.00   18.00   90.00       0.00  0.00  0.00
   60.00   18.00   90.00       0.00  0.00  0.00
   62.00   18.00   90.00       0.00  0.00  0.00
   64.00   18.00   90.00       0.00  0.00  0.00
   66.00   18.00   90.00       0.00  0.00  0.00
   68.00   18.00   90.00       0.00  0.00  0.00
   70.00   18.00   90.00       0.00  0.00  0.00
   72.00   18.00   90.00       0.00  0.00  0.00
   74.00   18.00   90.00       0.00  0.00  0.00
   76.00   18.00   90.00       0.00  0.00  0.00
   78.00   18.00   90.00       0.00  0.00  0.00
   80.00   18.00   90.00       0.00  0.00  0.00
   82.00   18.00   90.00       0.00  0.00  0.00
   84.00   18.00   90.00       0.00  0.00  0.00
   86.00   18.00   90.00       0.00  0.00  0.00
   88.00   18.00   90.00       0.00  0.00  0.00
   90.00   18.00   90.00       0.00  0.00  0.00
   56.00   20.00   90.00       0.00  0.00  0.00
   58.00   20.00   90.00       0.00  0.00  0.00
   60.00   20.00   90.00       0.00  0.00  0.00
   62.00   20.00   90.00       0.00  0.00  0.00
   64.00   20.00   90.00       0.00  0.00  0.00
   66.00   20.00   90.00       0.00  0.00  0.00
   68.00   20.00   90.00       0.00  0.00  0.00
   70.00   20.00   90.00       0.00  0.00  0.00
   72.00   20.00   90.00       0.00  0.00  0.00
   74.00   20.00   90.00       0.00  0.00  0.00
   76.00   20.00   90.00       0.00  0.00  0.00
   78.00   20.00   90.00       0.00  0.00  0.00
   80.00   20.00   90.00       0.00  0.00  0.00
   82.00   20.00   90.00       0.00  0.00  0.00
   84.00   20.00   90.00       0.00  0.00  0.00
   86.00   20.00   90.00       0.00  0.00  0.00
   56.00   22.00   90.00       0.00  0.00  0.00
   58.00   22.00   90.00       0.00  0.00  0.00
   60.00   22.00   90.00       0.00  0.00  0.00
   62.00   22.00   90.00       0.00  0.00  0.00
   64.00   22.00   90.00       0.00  0.00  0.00
   66.00   22.00   90.00       0.00  0.00  0.00
   68.00   22.00   90.00       0.00  0.00  0.00
   70.00   22.00   90.00       0.00  0.00  0.00
   72.00   22.00   90.00       0.00  0.00  0.00
