  Thu Sep 18 15:28:28 2025 for program Focmec                                             
 -----                                                                                    
 Input from a file focmec.dat                                                             
   2021  4 5 1739  4.7 L  27.232  88.765  5.8  TES 15 1.2                                 
 Polarities/Errors:  P 007/00  SV 000/00  SH 000/00                                       
 There are no amplitude ratio data                                                        
 The minimum, increment and maximum B axis trend:     0.00    2.00  358.00                
 The limits for the B axis plunge:     0.00    2.00   90.00                               
 The limits for Angle:     0.00    2.00  178.00                                           
  Strike    Dip    Rake    Pol: P     SV    SH                                            
    6.00   58.00   90.00       0.00  0.00  0.00                                           
    8.00   58.00   90.00       0.00  0.00  0.00                                           
    8.00   60.00   90.00       0.00  0.00  0.00                                           
    8.00   62.00   90.00       0.00  0.00  0.00                                           
    8.00   64.00   90.00       0.00  0.00  0.00                                           
   10.00   58.00   90.00       0.00  0.00  0.00                                           
   10.00   60.00   90.00       0.00  0.00  0.00                                           
   10.00   62.00   90.00       0.00  0.00  0.00                                           
   10.00   64.00   90.00       0.00  0.00  0.00                                           
   10.00   66.00   90.00       0.00  0.00  0.00                                           
   10.00   68.00   90.00       0.00  0.00  0.00                                           
   10.00   70.00   90.00       0.00  0.00  0.00                                           
   12.00   58.00   90.00       0.00  0.00  0.00                                           
   12.00   60.00   90.00       0.00  0.00  0.00                                           
   12.00   62.00   90.00       0.00  0.00  0.00                                           
   12.00   64.00   90.00       0.00  0.00  0.00                                           
   12.00   66.00   90.00       0.00  0.00  0.00                                           
   12.00   68.00   90.00       0.00  0.00  0.00                                           
   12.00   70.00   90.00       0.00  0.00  0.00                                           
   12.00   72.00   90.00       0.00  0.00  0.00                                           
   12.00   74.00   90.00       0.00  0.00  0.00                                           
   12.00   76.00   90.00       0.00  0.00  0.00                                           
   12.00   78.00   90.00       0.00  0.00  0.00                                           
   14.00   58.00   90.00       0.00  0.00  0.00                                           
   14.00   60.00   90.00       0.00  0.00  0.00                                           
   14.00   62.00   90.00       0.00  0.00  0.00                                           
   14.00   64.00   90.00       0.00  0.00  0.00                                           
   14.00   66.00   90.00       0.00  0.00  0.00                                           
   14.00   68.00   90.00       0.00  0.00  0.00                                           
   14.00   70.00   90.00       0.00  0.00  0.00                                           
   14.00   72.00   90.00       0.00  0.00  0.00                                           
   14.00   74.00   90.00       0.00  0.00  0.00                                           
   14.00   76.00   90.00       0.00  0.00  0.00                                           
   14.00   78.00   90.00       0.00  0.00  0.00                                           
   14.00   80.00   90.00       0.00  0.00  0.00                                           
   14.00   82.00   90.00       0.00  0.00  0.00                                           
   14.00   84.00   90.00       0.00  0.00  0.00                                           
   14.00   86.00   90.00       0.00  0.00  0.00                                           
   16.00   56.00   90.00       0.00  0.00  0.00                                           
   16.00   58.00   90.00       0.00  0.00  0.00                                           
   16.00   60.00   90.00       0.00  0.00  0.00                                           
   16.00   62.00   90.00       0.00  0.00  0.00                                           
   16.00   64.00   90.00       0.00  0.00  0.00                                           
   16.00   66.00   90.00       0.00  0.00  0.00                                           
   16.00   68.00   90.00       0.00  0.00  0.00                                           
   16.00   70.00   90.00       0.00  0.00  0.00                                           
   16.00   72.00   90.00       0.00  0.00  0.00                                           
   16.00   74.00   90.00       0.00  0.00  0.00                                           
   16.00   76.00   90.00       0.00  0.00  0.00                                           
   16.00   78.00   90.00       0.00  0.00  0.00                                           
   16.00   80.00   90.00       0.00  0.00  0.00                                           
   16.00   82.00   90.00       0.00  0.00  0.00                                           
   16.00   84.00   90.00       0.00  0.00  0.00                                           
   16.00   86.00   90.00       0.00  0.00  0.00                                           
   16.00   88.00   90.00       0.00  0.00  0.00                                           
   16.00   90.00   90.00       0.00  0.00  0.00                                           
  196.00   88.00  -90.00       0.00  0.00  0.00                                           
   18.00   56.00   90.00       0.00  0.00  0.00                                           
   18.00   58.00   90.00       0.00  0.00  0.00                                           
   18.00   60.00   90.00       0.00  0.00  0.00                                           
   18.00   62.00   90.00       0.00  0.00  0.00                                           
   18.00   64.00   90.00       0.00  0.00  0.00                                           
   18.00   66.00   90.00       0.00  0.00  0.00                                           
   18.00   68.00   90.00       0.00  0.00  0.00                                           
   18.00   70.00   90.00       0.00  0.00  0.00                                           
   18.00   72.00   90.00       0.00  0.00  0.00                                           
   18.00   74.00   90.00       0.00  0.00  0.00                                           
   18.00   76.00   90.00       0.00  0.00  0.00                                           
   18.00   78.00   90.00       0.00  0.00  0.00                                           
   18.00   80.00   90.00       0.00  0.00  0.00                                           
   18.00   82.00   90.00       0.00  0.00  0.00                                           
   18.00   84.00   90.00       0.00  0.00  0.00                                           
   18.00   86.00   90.00       0.00  0.00  0.00                                           
