
Model: ak135
Distance   Depth   Phase   Travel    Ray Param  Takeoff  Incident  Purist    Purist
  (deg)     (km)   Name    Time (s)  p (s/deg)   (deg)    (deg)   Distance   Name 
-----------------------------------------------------------------------------------
   66.53   180.0   P        630.42     6.336     28.80    19.30    66.53   = P    
   66.53   180.0   PcP      658.44     4.168     18.48    12.56    66.53   = PcP  
   66.53   180.0   pP       672.82     6.456    150.60    19.68    66.53   = pP   
   66.53   180.0   PKiKP   1018.30     1.349      5.89     4.04    66.53   = PKiKP
   66.53   180.0   S       1146.64    12.023     30.13    21.97    66.53   = S    
   66.53   180.0   SKS     1209.51     7.582     18.46    13.65    66.53   = SKS  
   66.53   180.0   ScS     1209.89     7.770     18.93    13.99    66.53   = ScS  
   66.53   180.0   sS      1220.30    12.228    149.30    22.36    66.53   = sS   
   66.53   180.0   SKiKS   1428.96     1.463      3.50     2.61    66.53   = SKiKS

