> S at  1320.75 seconds at    82.59 degrees for a    200.0 km deep source in the ak135 model with rayParam   10.118 s/deg.
    0.00   200.0     0.0    -39.00    141.00
    0.04   210.0     2.4    -38.97    140.96
    1.00   410.0    50.1    -38.39    139.99
    2.54   660.0   105.4    -37.43    138.46
   40.89  2286.2   635.1     -9.62    109.14
   79.25   660.0  1164.7     20.23     84.66
   80.79   410.0  1220.0     21.39     83.57
   81.74   210.0  1267.7     22.10     82.89
   81.79   200.0  1270.1     22.13     82.85
   82.48    35.0  1310.5     22.65     82.35
   82.53    20.0  1314.6     22.68     82.32
   82.59     0.0  1320.7     22.73     82.27
> SKKS at  1326.82 seconds at    82.59 degrees for a    200.0 km deep source in the ak135 model with rayParam    7.531 s/deg.
    0.00   200.0     0.0    -39.00    141.00
    0.03   210.0     2.3    -38.98    140.97
    0.70   410.0    47.5    -38.57    140.29
    1.76   660.0    98.5    -37.92    139.23
   30.30  2891.5   558.0    -17.79    116.09
   35.65  2912.1   598.6    -13.68    112.52
   41.01  2891.5   639.1     -9.53    109.07
   46.37  2912.1   679.7     -5.34    105.70
   51.72  2891.5   720.2     -1.13    102.38
   80.26   660.0  1179.7     20.99     83.95
   81.31   410.0  1230.7     21.78     83.19
   81.99   210.0  1275.9     22.28     82.71
   82.02   200.0  1278.2     22.30     82.69
   82.51    35.0  1316.8     22.67     82.33
   82.55    20.0  1320.9     22.70     82.30
   82.59     0.0  1326.8     22.73     82.27
